,,,
SACC code,Country of birth,Starting Year,Net Migration
9217,Namibia,2021,50
9218,Reunion,2021,-10
9221,Rwanda,2021,30
9222,St Helena,2021,0
9223,Seychelles,2021,20
9224,Somalia,2021,50
9225,South Africa,2021,4520
9226,Eswatini,2021,0
9227,Tanzania,2021,50
9228,Uganda,2021,160
9231,Zambia,2021,210
9232,Zimbabwe,2021,1050
9299,"S & E Afr, nec",2021,0
0000,Inadequately Described,2021,0
